i,t,m,Beef,Bread,Coconuts,Eggs,Maize (flour),Plantains,Rice (husked),Salt,Soft drinks,Sugar,Sweets,Tea (dry)
0001-001-001,2019-20,Mainland Rural,0.5981650593325736,0.6171731912123353,1.0042004809837566,0.13502967937404242,5.246175702999244,3.230826950909571,1.387868198552116,0.1592832095360201,0.470160943814046,0.29835959675144524,0.01010003393806687,0.01222163850085421
0001-001-003,2019-20,Mainland Rural,0.6337892697133404,0.5979010951475229,0.8957194790779469,0.2068255865142144,2.5423319721910453,1.5751947347266335,1.300845819764573,0.1595109343709636,0.9155860167023477,0.3590433799049457,0.01823966152509787,0.01527486874505886
0001-001-004,2019-20,Dar Es Salaam,1.0994313414491328,1.0543422862895186,1.6559516681895239,0.4018442697550815,1.6405316058933814,1.057709473022142,2.3557114363064064,0.18814812171743645,2.72479680150789,0.5839781119739272,0.11392779079970813,0.02908786070978249
0001-004-001,2019-20,Mainland Rural,0.7226436835535687,0.4577687884193602,1.2701504979919835,0.18293409878457384,4.882065669997168,2.2722817506190305,2.1532369520567314,0.20014680153405376,0.8102152772011165,0.4960054820723566,0.02860286687949932,0.019929228044916522
0003-001-001,2019-20,Mainland Rural,1.8371827838965813,1.1109155978038232,3.1642515918631386,0.3956320596278605,8.398958042492591,6.78974865758133,5.691473257504463,0.2959841241823576,2.4288867847559144,1.3283029297931968,0.048061309598865364,0.03701646461181881
0004-001-001,2019-20,Mainland Rural,0.9711826293043487,1.108960960440525,2.259936823408943,0.4110605941009356,5.269173389441248,4.162571768546254,5.2570409475330715,0.26969162319211426,1.5601149735494642,0.9681371819641643,0.036718128853577045,0.029831279228446264
0005-001-001,2019-20,Mainland Rural,0.9144458247320062,0.8584018205609804,1.8075403521227067,0.2626265831716801,8.798122640362942,3.990351863278555,4.745113378207126,0.25930084906472883,1.4012811275577164,0.8809784880218865,0.022635259536647096,0.03251958481485427
0007-001-001,2019-20,Mainland Rural,0.630329621042156,0.8182822934252372,1.1783262638122574,0.3705399063722845,11.25475527355115,3.7350579953106315,2.5148581974488406,0.23964906731634725,0.8168181844332172,0.5170513990702857,0.005604175546920243,0.020062758128948022
0009-001-001,2019-20,Mainland Rural,0.627574109141604,0.5805130600134925,1.1215521005420357,0.12596368306551914,9.90391175001127,4.260789133112569,1.9727271656119367,0.18449202224912617,0.6359781499831668,0.36966650457775435,0.011600496393701427,0.01476915818935026
0010-001-001,2019-20,Mainland Rural,0.7284200778213272,0.5215019939740435,1.0604232702290342,0.15661368522435432,4.319358174314619,2.5812331831748696,1.8624202923887336,0.1681062713841244,0.5671223278345566,0.3448449582405026,0.010686450287137186,0.015287157233995086
