,Energy,Protein,Iron,Calcium,Vitamin A,Vitamin B-6,Vitamin B-12,Vitamin C,Vitamin D,Magnesium
7155.138288134661,7329.969688971463,202.29600093609687,49.217683934590475,595.772123141322,947.4838714779353,4.272804288657682,11.586979277670709,12.555879286461952,8.14013321845037,1584.723973793713
10659.695817016944,9575.751186576941,274.8355322300633,59.2676142123461,950.7960893387032,1818.5263601075956,5.300409679066037,21.090130491687916,29.217199593621118,15.060873687143136,1756.2213589615687
14164.253345899227,11800.737872815827,345.09714780341335,69.43549433463342,1310.745365754576,2758.481096865643,6.356668210045765,30.811806596328374,49.943176497307704,22.22455826223129,1923.3359878263589
17668.81087478151,14004.99803863269,413.313397074731,79.6178726676654,1672.152158989497,3739.067846752367,7.422190416458557,40.55439623915451,73.70645541520399,29.45977420940467,2088.2229233637318
21173.368403663793,16189.61744294733,479.7100542635048,89.77628121304807,2033.3356547819617,4745.953603529912,8.488770487361009,50.23916259873947,99.86243569500384,36.69347106761349,2251.9875993009045
24677.925932546077,18355.801942901286,544.475482809366,99.8943742218583,2393.373738994309,5770.647485270565,9.552284961066814,59.83001466992529,127.96642990314832,43.889399909169875,2415.2742309271407
28182.48346142836,20504.696434462185,607.7651613958959,109.96507900806151,2751.727631387724,6807.638908093746,10.61046801415247,69.30966362033486,157.69277493924352,51.02818576399862,2578.487733489035
31687.040990310645,22637.347456726875,669.7087844727128,119.9856987046031,3108.073582373877,7853.131728436889,11.662018287146955,78.67017102100789,188.7929507960631,58.099191488722056,2741.895145990858
35191.59851919293,24754.702105401026,730.4160326194583,129.95575035006067,3462.2170948686326,8904.399375025023,12.70618058439944,87.90861156884128,221.07149793063593,65.09667907904672,2905.6781566119735
38696.15604807521,26857.61651190936,789.9808761349519,139.8759118382186,3814.045184019781,9959.4226641374,13.742528167576,97.02487510017156,254.37109238899114,72.01780989009661,3069.9628030407835
42200.71357695749,28946.866170246823,848.4847576369185,149.74747250542842,4163.498048720838,11016.671288861853,14.770840423036523,106.02047097414747,288.5627621216024,78.86152526278012,3234.837395986075
45705.271105839776,31023.155780599416,905.9989716208183,159.57203228754025,4510.551426725523,12074.964571152172,15.791030028793754,114.89784306968491,323.539187280433,85.62788522640918,3400.363890881986
49209.82863472206,33087.12797650087,962.5864724583128,169.35133150430883,4855.205182365192,13133.378808374813,16.803097606187947,123.65996204151584,359.2099493303702,92.31766129944324,3566.5853941179353
52714.386163604344,35139.37086268247,1018.3032713142836,179.08715268732047,5197.475702338169,14191.183433026377,17.807102471085955,132.3100758391285,395.4980644732252,98.93207756324735,3733.531278874479
56218.943692486624,37180.4244677303,1073.1995327112966,188.78126364821273,5537.390706952831,15247.795741098831,18.80314323228528,140.85155421820937,432.3373932438506,105.4726418626994,3901.220764710094
59723.50122136891,39210.786260294226,1127.320447948677,198.4353848378238,5874.985641633344,16302.748005204521,19.791344631232867,149.28779087647635,469.67066543035423,111.94103365336774,4069.665477759376
