i,t,m,0
0089-001-001,2019-20,Mainland Rural,70826.26332028599
0089-002-001,2019-20,Mainland Rural,31870.65456089136
0089-002-002,2019-20,Mainland Other Urban,22134.193808066633
0090-001-001,2019-20,Mainland Rural,55169.12669732875
0090-001-005,2019-20,Mainland Other Urban,25651.331091292534
0091-001-001,2019-20,Mainland Other Urban,18843.386193976497
0092-001-001,2019-20,Mainland Other Urban,33931.6574712886
0093-001-001,2019-20,Dar Es Salaam,38971.15818990837
0096-001-001,2019-20,Mainland Other Urban,44252.94536303984
0096-002-002,2019-20,Mainland Rural,29423.152427247347
0097-001-001,2019-20,Mainland Other Urban,23469.725080779288
0097-001-003,2019-20,Mainland Other Urban,35484.727832251774
0098-001-001,2019-20,Dar Es Salaam,18158.2782685532
0099-001-001,2019-20,Mainland Rural,39589.601493686976
0099-001-004,2019-20,Dar Es Salaam,36467.1018337893
0099-001-006,2019-20,Mainland Other Urban,18456.033601439776
0099-008-001,2019-20,Mainland Rural,31179.649439558903
0100-001-001,2019-20,Mainland Rural,22485.281462243132
0101-001-001,2019-20,Mainland Rural,49469.85781856497
0101-002-001,2019-20,Mainland Other Urban,20193.49446388698
0101-003-001,2019-20,Mainland Other Urban,21593.767438020197
0102-001-001,2019-20,Mainland Other Urban,45614.91869941879
0102-001-003,2019-20,Dar Es Salaam,46259.81832695339
0103-001-001,2019-20,Mainland Rural,49145.244633279115
0104-001-001,2019-20,Mainland Other Urban,42515.70524600994
0104-001-006,2019-20,Mainland Other Urban,21301.072212275652
0104-008-001,2019-20,Mainland Other Urban,15619.169222460407
0105-001-001,2019-20,Mainland Other Urban,25573.961420016116
0105-005-001,2019-20,Mainland Rural,20402.95710782603
0106-001-002,2019-20,Mainland Rural,23138.11270120049
0106-001-003,2019-20,Mainland Other Urban,28499.60039166952
0107-001-001,2019-20,Mainland Other Urban,19368.005498794875
0108-001-001,2019-20,Mainland Rural,31200.050319229438
0108-001-002,2019-20,Mainland Rural,114404745.95361009
0109-001-001,2019-20,Mainland Rural,24992.354866899033
0110-001-001,2019-20,Mainland Other Urban,40181.57202180436
0110-001-002,2019-20,Mainland Other Urban,36403.21862537675
0111-001-001,2019-20,Mainland Rural,37379.02080259321
0112-001-001,2019-20,Mainland Rural,64321.082079294334
0112-001-002,2019-20,Mainland Other Urban,52330.29891299901
0113-001-001,2019-20,Mainland Rural,56526.129500634044
0113-002-001,2019-20,Mainland Rural,126754.4083328812
0114-001-001,2019-20,Mainland Rural,24750.049105298254
0115-001-001,2019-20,Mainland Rural,30120.277216180075
0115-001-002,2019-20,Mainland Rural,19534.51911684101
0118-001-001,2019-20,Mainland Rural,22417.348749037348
0119-001-001,2019-20,Mainland Rural,45354.045348532316
0119-001-002,2019-20,Mainland Rural,20970.52240323853
0120-001-001,2019-20,Mainland Rural,44312.84105753783
0121-002-001,2019-20,Mainland Rural,47268.98344580037
0121-004-001,2019-20,Mainland Rural,32218.151451227208
0122-001-001,2019-20,Mainland Rural,22258.041101248516
0122-001-003,2019-20,Mainland Rural,183316.4957083636
0123-001-001,2019-20,Mainland Other Urban,41527.80648106035
0124-001-001,2019-20,Mainland Other Urban,30184.55927582693
0124-002-001,2019-20,Mainland Other Urban,27679.898261685787
0126-001-001,2019-20,Mainland Other Urban,70825.00756272921
0126-001-003,2019-20,Mainland Other Urban,36672.49840827763
0127-001-001,2019-20,Mainland Other Urban,96446.3777000604
0127-003-001,2019-20,Mainland Rural,34209.6546315174
0127-005-001,2019-20,Mainland Other Urban,14246.57557736404
0128-001-001,2019-20,Mainland Other Urban,35423.193094142254
0129-001-001,2019-20,Mainland Other Urban,37603.218254173145
0129-004-003,2019-20,Mainland Other Urban,58263.88154967106
0129-004-004,2019-20,Mainland Other Urban,12561.287295225104
0131-001-002,2019-20,Mainland Rural,54530.273934773075
0134-001-001,2019-20,Mainland Rural,26475.379060030125
0134-006-001,2019-20,Dar Es Salaam,30802.592356942707
0136-001-001,2019-20,Mainland Rural,16299.697263926359
0137-001-001,2019-20,Mainland Rural,24266.561754807375
0137-003-001,2019-20,Mainland Rural,65256.56247256839
0138-002-001,2019-20,Mainland Rural,19358.735011543755
0139-001-001,2019-20,Mainland Rural,47560.012555957896
0140-002-001,2019-20,Mainland Rural,18849.831701431158
0142-001-001,2019-20,Mainland Rural,19062.23619591149
0142-002-002,2019-20,Mainland Rural,24401.846944347202
0142-006-001,2019-20,Mainland Rural,20085.192683285935
0142-006-002,2019-20,Mainland Rural,32788.491244174096
0143-001-001,2019-20,Mainland Rural,32007.395875847535
0144-001-001,2019-20,Mainland Other Urban,59421.686857798784
0146-001-001,2019-20,Mainland Other Urban,78775.7197926274
0146-001-003,2019-20,Mainland Other Urban,18439.20616501453
0146-001-007,2019-20,Mainland Other Urban,44769.76346701415
0147-001-001,2019-20,Mainland Other Urban,40773.64932306504
0148-001-001,2019-20,Mainland Rural,26485.208612704755
