i,t,m,0
0402-001-003,2019-20,Mainland Rural,30975.330617654035
0403-001-001,2019-20,Mainland Rural,37384.00702799507
0404-001-001,2019-20,Mainland Rural,22833.69539714839
0405-001-001,2019-20,Mainland Rural,32905.82036139687
0405-003-001,2019-20,Mainland Rural,18154.249888204966
0406-001-001,2019-20,Mainland Rural,38319.03185065621
0407-001-001,2019-20,Mainland Rural,36129.32968760054
0408-001-001,2019-20,Mainland Rural,30905.71449345057
0409-001-001,2019-20,Mainland Rural,48062.47113528135
0411-001-001,2019-20,Mainland Rural,42873.201864572766
0412-001-001,2019-20,Mainland Rural,24729.90969168461
0414-001-001,2019-20,Mainland Rural,30296.4526143643
0415-002-001,2019-20,Mainland Rural,22107.87617736194
0416-001-001,2019-20,Mainland Rural,46221.36476955888
0418-001-001,2019-20,Mainland Rural,41206.53090439392
0419-001-001,2019-20,Mainland Rural,48826.83030457344
0420-001-001,2019-20,Mainland Rural,33323.138817216444
0420-001-003,2019-20,Mainland Rural,92033.05941401397
0421-001-001,2019-20,Mainland Rural,56315.04303427839
0421-001-002,2019-20,Mainland Rural,32521.13292519785
0422-001-001,2019-20,Mainland Other Urban,41037.85614875714
0422-106-001,2019-20,Mainland Rural,56713.04061944131
0424-001-001,2019-20,Mainland Rural,49776.4476610794
0425-001-001,2019-20,Mainland Rural,22441.465942657967
0426-001-001,2019-20,Mainland Rural,43189.11000806298
0427-001-001,2019-20,Mainland Rural,88885.1635896176
0428-001-001,2019-20,Mainland Other Urban,51466.594562846985
0428-001-007,2019-20,Mainland Other Urban,37313.83369783141
0430-002-001,2019-20,Mainland Rural,41722.41721089847
0431-001-001,2019-20,Mainland Rural,40244.43277194966
0432-001-001,2019-20,Mainland Rural,64316.29799520891
0435-001-001,2019-20,Mainland Rural,18394.84679612262
0436-001-001,2019-20,Mainland Rural,33509.239104065804
0436-002-001,2019-20,Mainland Rural,35313.282349160676
0437-001-001,2019-20,Mainland Rural,25038.963467887483
0438-001-002,2019-20,Mainland Rural,43189.4334356131
0438-002-001,2019-20,Mainland Rural,23717.21129975925
0439-001-001,2019-20,Mainland Rural,46903.5956099602
0440-002-001,2019-20,Mainland Rural,33292.12577990805
0440-003-001,2019-20,Mainland Rural,17038.38633540598
0440-003-002,2019-20,Mainland Rural,26195.605973038655
0441-001-001,2019-20,Mainland Rural,28105.68998345167
0443-001-001,2019-20,Mainland Rural,24715.760145641325
0443-003-002,2019-20,Mainland Rural,24457.586214821706
0443-004-001,2019-20,Mainland Rural,24325.511399424973
0444-001-001,2019-20,Mainland Rural,35532.95365626656
0444-002-001,2019-20,Mainland Rural,23652.10829521578
0445-001-002,2019-20,Mainland Rural,49061.05051820546
0447-001-001,2019-20,Mainland Other Urban,21513.245113042314
0448-002-002,2019-20,Mainland Other Urban,15545.513228825026
0448-002-003,2019-20,Mainland Other Urban,27503.038100289403
0448-003-002,2019-20,Mainland Other Urban,28598.54718252028
0448-004-001,2019-20,Mainland Other Urban,34948.93738812602
0448-007-001,2019-20,Mainland Other Urban,40800.17722885182
0449-001-001,2019-20,Mainland Other Urban,34501.968619640575
0449-001-003,2019-20,Mainland Other Urban,27849.33456873489
0451-001-001,2019-20,Mainland Rural,21496.267120756253
0452-001-001,2019-20,Mainland Other Urban,30613.51658966227
0454-002-002,2019-20,Mainland Other Urban,33441.47283856338
0454-003-001,2019-20,Mainland Other Urban,32578.10222594213
0455-001-001,2019-20,Mainland Other Urban,65935.46474415477
0456-001-001,2019-20,Mainland Other Urban,31917.890384279024
0457-001-001,2019-20,Mainland Other Urban,47993.25923617401
0459-001-001,2019-20,Mainland Other Urban,37622.13709129357
0460-001-001,2019-20,Dar Es Salaam,55894.080592773294
0461-001-001,2019-20,Mainland Other Urban,55356.94427138031
0462-001-001,2019-20,Mainland Rural,30499.7701096609
0463-001-001,2019-20,Mainland Other Urban,42584.97773841068
0463-001-005,2019-20,Dar Es Salaam,15454.572873503605
0463-001-008,2019-20,Dar Es Salaam,33567.102674605754
0463-001-010,2019-20,Mainland Other Urban,28946.905261291773
0464-001-001,2019-20,Dar Es Salaam,32256.060035926686
0465-001-001,2019-20,Mainland Rural,31434.632592535723
0466-001-001,2019-20,Mainland Other Urban,82037.59244742453
0467-001-002,2019-20,Mainland Other Urban,43271.99432927935
0467-001-003,2019-20,Mainland Other Urban,24527.066042837956
0468-001-001,2019-20,Mainland Other Urban,31735.278955188303
0469-001-001,2019-20,Mainland Other Urban,48515.007680758856
0469-001-003,2019-20,Mainland Rural,28290.741517836665
0469-001-004,2019-20,Mainland Other Urban,33991.02138218629
0470-001-001,2019-20,Mainland Other Urban,42348.07576253362
0471-001-001,2019-20,Mainland Rural,35088.400204794045
0472-001-001,2019-20,Mainland Rural,30992.549801598292
0473-001-001,2019-20,Mainland Rural,27090.466140442328
0474-001-001,2019-20,Mainland Rural,52215.08584669557
0475-001-002,2019-20,Mainland Other Urban,18455.870857607282
0476-001-001,2019-20,Mainland Rural,18585.296555282945
0477-001-001,2019-20,Mainland Rural,44953.05397731557
0478-001-001,2019-20,Mainland Rural,33749.41723148116
0479-001-001,2019-20,Mainland Rural,24576.639249914144
0481-001-001,2019-20,Mainland Rural,31143.04363998161
0483-001-001,2019-20,Mainland Rural,25952.54314838134
0484-001-001,2019-20,Mainland Rural,30591.564575282304
0485-001-002,2019-20,Mainland Rural,21347.238601469093
0486-001-001,2019-20,Mainland Rural,20424.65054933214
0486-001-002,2019-20,Mainland Rural,28999.749690577264
0487-001-001,2019-20,Mainland Rural,25681.69323733274
0488-002-001,2019-20,Mainland Rural,28654.25510548927
0489-001-001,2019-20,Mainland Rural,69264.47122786267
0490-001-001,2019-20,Mainland Rural,20428.84725301848
0491-001-001,2019-20,Mainland Rural,17112.797683184173
0491-001-002,2019-20,Mainland Rural,20136.125461182888
0491-001-003,2019-20,Mainland Rural,26290.014555505877
0491-001-004,2019-20,Mainland Other Urban,21577.69590230719
0491-002-001,2019-20,Mainland Rural,28934.748839844036
0491-003-001,2019-20,Mainland Rural,29851.181179943203
0491-004-001,2019-20,Mainland Rural,25666.56253216882
0492-001-001,2019-20,Mainland Rural,25086.753834220766
0493-001-001,2019-20,Mainland Other Urban,35928.038986694264
0494-001-001,2019-20,Mainland Other Urban,38847.54702228401
0494-105-001,2019-20,Mainland Rural,25665.677153081288
0495-001-001,2019-20,Mainland Other Urban,35207.763371991205
0496-001-002,2019-20,Mainland Other Urban,24520.974788371128
0497-001-001,2019-20,Mainland Other Urban,39414.67087863468
0497-001-003,2019-20,Mainland Rural,19009.046051710553
0498-001-001,2019-20,Mainland Other Urban,42424.84803342138
0498-001-006,2019-20,Mainland Rural,90554.95496314895
0498-004-001,2019-20,Mainland Other Urban,31736.00039499904
0499-001-001,2019-20,Mainland Rural,39016.324053355864
0499-001-004,2019-20,Mainland Rural,51675.74524325327
0499-004-002,2019-20,Mainland Rural,39338.31773694991
0501-001-001,2019-20,Mainland Rural,29983.833092018216
0502-004-001,2019-20,Mainland Other Urban,18060.632221240154
0503-001-001,2019-20,Mainland Rural,22882.793360263702
0504-008-001,2019-20,Mainland Rural,44932.43316250413
0505-001-001,2019-20,Mainland Other Urban,27244.775388532576
0505-001-002,2019-20,Mainland Rural,23120.07659091317
0506-001-001,2019-20,Mainland Rural,48016.415907845425
0506-003-001,2019-20,Mainland Rural,34062.88574627849
0508-001-001,2019-20,Mainland Rural,26210.007747272608
0510-001-001,2019-20,Mainland Rural,55121.006258110596
0510-003-001,2019-20,Mainland Rural,24242.514198925684
0511-001-001,2019-20,Mainland Other Urban,37812.827229624105
0512-001-001,2019-20,Mainland Rural,22844.161193077216
0513-001-001,2019-20,Mainland Rural,65755.0511462973
0514-001-001,2019-20,Mainland Rural,37515.36019676789
0515-001-001,2019-20,Mainland Rural,30488.104463324853
0515-003-001,2019-20,Mainland Rural,32676.321170736792
0516-001-001,2019-20,Mainland Other Urban,26837.75935116088
0517-001-001,2019-20,Mainland Other Urban,41805.93192978033
0518-001-001,2019-20,Mainland Rural,34070.48005102333
0519-001-002,2019-20,Mainland Other Urban,24583.35652162879
0521-001-001,2019-20,Mainland Rural,88066.36298125765
0521-001-003,2019-20,Mainland Rural,47661.04709462543
0521-001-011,2019-20,Mainland Rural,15947.147776045998
0522-001-001,2019-20,Mainland Rural,46099.579237821854
0525-001-001,2019-20,Mainland Rural,60259.73535739133
0525-003-001,2019-20,Mainland Rural,27204.736140244902
0525-003-004,2019-20,Mainland Rural,27825.257389647435
0525-004-001,2019-20,Mainland Rural,38480.258474300565
0525-005-001,2019-20,Mainland Rural,29990.697213173222
0525-005-003,2019-20,Mainland Rural,31756.946055624612
0526-001-001,2019-20,Mainland Rural,20844.62344899335
0528-001-001,2019-20,Mainland Rural,40302.72097170026
0528-001-002,2019-20,Mainland Rural,11728.206991940207
0528-001-003,2019-20,Mainland Rural,32653.598295457028
0528-001-005,2019-20,Mainland Rural,26163.067871540505
0529-001-001,2019-20,Mainland Rural,428919.6967376384
0529-001-003,2019-20,Mainland Rural,34907.40769901986
0529-001-009,2019-20,Mainland Rural,25213.158808706103
0530-001-001,2019-20,Mainland Rural,52149.85880810304
0530-001-003,2019-20,Mainland Rural,106270.0504589271
0531-001-001,2019-20,Mainland Rural,90815.3238100301
0532-001-001,2019-20,Mainland Other Urban,55034.59376198398
0534-001-001,2019-20,Mainland Rural,37689.2414799585
0534-001-003,2019-20,Mainland Rural,29010.358337435227
0535-001-001,2019-20,Mainland Rural,57296.521012811725
0535-006-001,2019-20,Mainland Rural,25887.815684738835
0536-001-001,2019-20,Mainland Rural,39824.58016283203
0537-001-001,2019-20,Mainland Rural,12480.817031898154
0539-001-001,2019-20,Mainland Rural,24615.768532618004
0540-001-001,2019-20,Mainland Other Urban,53156.47038757288
0541-001-001,2019-20,Dar Es Salaam,37471.68389205263
0542-001-002,2019-20,Mainland Rural,38199.27012384557
0543-001-001,2019-20,Mainland Rural,47970.396603639194
0544-001-001,2019-20,Mainland Other Urban,36662.971219021165
0545-006-001,2019-20,Dar Es Salaam,24817.930875971608
0545-006-003,2019-20,Dar Es Salaam,54126.01024164065
0545-008-001,2019-20,Dar Es Salaam,37395.11753730772
0547-001-001,2019-20,Mainland Other Urban,21738.276503696827
0547-001-002,2019-20,Mainland Other Urban,34476.033478302445
0548-001-001,2019-20,Mainland Other Urban,57839.33761411529
0548-002-001,2019-20,Mainland Other Urban,41021.87394772652
0548-002-002,2019-20,Mainland Other Urban,22682.900206824455
0549-001-001,2019-20,Mainland Other Urban,41453.74232500496
0549-001-002,2019-20,Mainland Other Urban,16796.92937252053
0550-001-001,2019-20,Dar Es Salaam,37330.57770069915
0551-001-001,2019-20,Mainland Other Urban,34049.21404269577
0551-001-003,2019-20,Mainland Rural,11336.232084649426
0551-001-006,2019-20,Mainland Rural,13883.580687566606
0552-001-001,2019-20,Dar Es Salaam,55720.19840929918
0553-001-001,2019-20,Dar Es Salaam,33672.1515833656
0554-001-001,2019-20,Mainland Other Urban,43343.383664342706
0554-003-001,2019-20,Mainland Other Urban,21588.97527906977
0555-001-001,2019-20,Mainland Other Urban,20151.792783284407
0557-001-001,2019-20,Mainland Other Urban,48919.271958835416
0559-001-001,2019-20,Mainland Other Urban,54240.95760534552
0565-001-001,2019-20,Mainland Rural,48022.39350055987
0565-003-001,2019-20,Mainland Other Urban,52003.849498475756
0565-004-001,2019-20,Mainland Rural,46185.2945309808
0565-005-001,2019-20,Mainland Other Urban,41986.48289146743
0566-001-001,2019-20,Mainland Rural,52152.702743898735
0567-001-001,2019-20,Mainland Other Urban,46190.23832524263
0568-001-001,2019-20,Mainland Other Urban,26338.892417004343
0569-001-001,2019-20,Mainland Rural,51310.85489994821
0570-001-001,2019-20,Mainland Other Urban,36886.13624092978
0571-001-001,2019-20,Mainland Other Urban,53901.5760320733
0571-104-001,2019-20,Mainland Rural,28518.631254762375
0572-001-003,2019-20,Mainland Other Urban,64280.29997082824
0573-001-001,2019-20,Mainland Rural,79588.99185319696
0573-001-003,2019-20,Mainland Other Urban,26570.153006896046
0573-001-006,2019-20,Mainland Other Urban,25696.525418528407
0573-003-001,2019-20,Mainland Other Urban,83049.83557378424
0573-003-004,2019-20,Mainland Rural,354755.41506511404
0573-003-005,2019-20,Mainland Rural,32400.91515262142
0573-003-013,2019-20,Mainland Rural,125270.85694737468
0573-006-001,2019-20,Mainland Rural,85205.24325628317
0573-006-003,2019-20,Mainland Rural,36286.545960266325
0573-006-009,2019-20,Mainland Other Urban,18263.62860594273
0574-001-001,2019-20,Mainland Other Urban,42978.45646991784
0575-001-001,2019-20,Mainland Rural,30716.957535394442
0576-001-001,2019-20,Mainland Other Urban,30013.105499005578
0576-001-002,2019-20,Mainland Other Urban,27214.511304445237
0577-001-002,2019-20,Mainland Other Urban,15231.899090751895
0578-001-001,2019-20,Mainland Other Urban,30923.692347089967
0580-001-001,2019-20,Mainland Other Urban,52308.723466409494
0580-004-001,2019-20,Mainland Other Urban,28753.890678098916
0581-001-001,2019-20,Mainland Other Urban,50692.96573574359
0582-001-001,2019-20,Mainland Other Urban,19347.352743472762
0583-001-001,2019-20,Mainland Other Urban,43919.68523382875
0584-001-001,2019-20,Mainland Rural,74726.8990792984
0585-001-001,2019-20,Mainland Other Urban,56830.99032086829
0585-001-003,2019-20,Mainland Rural,19723.80270864509
0586-001-001,2019-20,Mainland Other Urban,24191.926036477274
0586-003-001,2019-20,Mainland Rural,24020.50101495514
0588-001-001,2019-20,Mainland Other Urban,43120.01936046956
0589-001-001,2019-20,Mainland Rural,44024.438165384054
0589-001-006,2019-20,Mainland Rural,43417.908449408234
0589-007-001,2019-20,Dar Es Salaam,39875.42097161951
0589-007-003,2019-20,Mainland Rural,26592.81191315311
0589-008-001,2019-20,Mainland Rural,34834.78070647852
0590-001-002,2019-20,Dar Es Salaam,42709.47972228849
0591-001-001,2019-20,Mainland Rural,35409.82423532475
0592-001-001,2019-20,Mainland Rural,31016.837349366775
0593-001-001,2019-20,Mainland Rural,23033.492056266146
0593-002-001,2019-20,Mainland Other Urban,32658.014785093816
0593-005-001,2019-20,Mainland Other Urban,51889.44621101512
0593-005-008,2019-20,Mainland Rural,32486.001772319225
0595-001-001,2019-20,Mainland Rural,27913.080000006812
0596-001-001,2019-20,Mainland Other Urban,38474.934943471875
0596-003-001,2019-20,Mainland Other Urban,25249.21215094389
0597-001-001,2019-20,Mainland Other Urban,32813.23293081514
0598-001-001,2019-20,Mainland Other Urban,27083.038107108157
0599-001-001,2019-20,Mainland Other Urban,41038.35412738669
0600-001-001,2019-20,Mainland Other Urban,42719.11134447047
0601-001-001,2019-20,Mainland Rural,28407.476988311097
0602-001-001,2019-20,Mainland Rural,28715.521125549225
0603-001-002,2019-20,Mainland Rural,14761.208579026248
0606-001-001,2019-20,Mainland Other Urban,31903.981776429566
0607-001-001,2019-20,Mainland Rural,70720.8888877975
0607-001-010,2019-20,Mainland Rural,24510.541186688828
0607-007-001,2019-20,Mainland Rural,101200.6210234804
0608-001-001,2019-20,Mainland Rural,110203.94210271002
0608-001-006,2019-20,Mainland Rural,29437.84204986212
0608-003-001,2019-20,Mainland Rural,28483.170754259278
0609-001-002,2019-20,Mainland Rural,14216.684298868717
0610-001-001,2019-20,Mainland Rural,40160.249248621854
0610-001-003,2019-20,Mainland Rural,64337.312368982384
0610-003-001,2019-20,Mainland Rural,81823.27458514688
0610-103-002,2019-20,Mainland Rural,323104.8200848125
0610-103-006,2019-20,Mainland Rural,30110.280236815153
0610-103-007,2019-20,Mainland Rural,82312.85731789118
0611-001-001,2019-20,Mainland Rural,43515.67837735465
0612-001-001,2019-20,Mainland Rural,111166.65023008549
0613-001-001,2019-20,Mainland Rural,47099.38167277412
0614-001-001,2019-20,Mainland Rural,48804.21007412391
0614-005-001,2019-20,Mainland Rural,70919.05721093314
0614-005-007,2019-20,Mainland Rural,20343.775257388806
0615-001-001,2019-20,Mainland Rural,52377.815145244094
0615-001-005,2019-20,Mainland Rural,26201.101467074142
0615-005-001,2019-20,Mainland Rural,43226.91758782937
0616-001-001,2019-20,Mainland Rural,60177.14089189333
0617-001-001,2019-20,Mainland Rural,122707.28298856932
0618-001-001,2019-20,Mainland Rural,121284.72491073227
0618-006-001,2019-20,Mainland Rural,74264.78407981513
0619-001-001,2019-20,Mainland Rural,89982.75185666181
0619-106-001,2019-20,Mainland Rural,58445.06848966254
0620-001-001,2019-20,Mainland Rural,22274.891692820038
0620-001-002,2019-20,Mainland Rural,16315.512294696691
0621-001-001,2019-20,Mainland Rural,34830.234922615506
0621-003-001,2019-20,Mainland Rural,22266.332840072893
0622-001-001,2019-20,Mainland Rural,26451.907039475747
0623-001-001,2019-20,Mainland Rural,155529.5886329375
0623-001-004,2019-20,Mainland Rural,60028.340376129934
0624-001-001,2019-20,Mainland Rural,48019.470122112805
0626-001-001,2019-20,Mainland Rural,12286.040019529131
0626-001-003,2019-20,Mainland Rural,22686.45050498169
0627-001-001,2019-20,Mainland Rural,59317.429123425274
0627-001-002,2019-20,Mainland Rural,20202.81896634919
0628-001-001,2019-20,Mainland Rural,46302.24756104083
0628-003-001,2019-20,Mainland Rural,14643.141737727326
0628-003-003,2019-20,Mainland Rural,37694.79823678265
0628-005-001,2019-20,Mainland Rural,58430.15544707393
0629-002-001,2019-20,Mainland Rural,51447.95174602068
0630-001-001,2019-20,Mainland Rural,33395.98631450877
0631-001-001,2019-20,Mainland Rural,35513.48686282005
0631-008-001,2019-20,Mainland Rural,42834.03232750007
0632-001-001,2019-20,Mainland Rural,41816.61284303954
0632-003-001,2019-20,Mainland Rural,30740.77357278796
0632-004-001,2019-20,Mainland Rural,25043.032414427442
0633-001-002,2019-20,Mainland Rural,23862.184296879597
0633-001-003,2019-20,Mainland Rural,16391.44056550951
0633-011-002,2019-20,Mainland Rural,80612.40241504344
0634-001-001,2019-20,Mainland Rural,52305.262716212754
0636-001-001,2019-20,Mainland Rural,26291.527505401424
0637-001-001,2019-20,Mainland Rural,52884.0669103908
0638-001-001,2019-20,Mainland Rural,27661.83697191625
0639-007-001,2019-20,Mainland Rural,33232.34928629905
0639-007-003,2019-20,Mainland Rural,56925.87673422703
0640-001-001,2019-20,Mainland Rural,17714.21357184853
0641-001-001,2019-20,Mainland Rural,34843.709598797795
0642-001-001,2019-20,Mainland Rural,31764.866245985504
0642-001-003,2019-20,Mainland Rural,34532.363800065476
0642-001-004,2019-20,Mainland Rural,23318.717160328484
0642-001-006,2019-20,Mainland Rural,28330.576472744204
0642-001-009,2019-20,Mainland Rural,30286.83859377241
0643-001-001,2019-20,Mainland Rural,54673.84570782053
0643-001-004,2019-20,Mainland Rural,154902.77361819032
0644-001-001,2019-20,Mainland Rural,32948.17325363682
0645-001-001,2019-20,Mainland Rural,50303.01051503832
0645-001-003,2019-20,Mainland Rural,36302.095865391915
0646-001-001,2019-20,Mainland Rural,84833.6489889544
0646-001-002,2019-20,Mainland Rural,30968.042619020987
0647-001-001,2019-20,Mainland Rural,46595.42775041053
0648-001-001,2019-20,Mainland Rural,173910.22483204023
0649-001-001,2019-20,Mainland Rural,63328.16624255404
0651-001-001,2019-20,Mainland Rural,161292.64718874756
0652-001-001,2019-20,Mainland Rural,36587.38238984658
0652-003-001,2019-20,Mainland Rural,82776.05818823831
0653-001-001,2019-20,Mainland Rural,35442.85517994111
0654-001-001,2019-20,Mainland Rural,38472.803660885496
0654-001-002,2019-20,Mainland Rural,78957.83929600308
0654-004-001,2019-20,Mainland Rural,50761.36784078537
0655-001-001,2019-20,Mainland Rural,39228.51513893221
0657-001-001,2019-20,Mainland Rural,32677.090522096136
0658-001-001,2019-20,Mainland Rural,45238.60649339021
0658-001-002,2019-20,Mainland Rural,24546.398881816403
0658-001-003,2019-20,Mainland Other Urban,21398.82860458085
0661-002-001,2019-20,Mainland Rural,35772.564788385855
0662-001-001,2019-20,Mainland Rural,17597.154077350224
0662-002-002,2019-20,Mainland Rural,67906.39910962872
0663-001-001,2019-20,Mainland Rural,79690.9110860782
0663-001-002,2019-20,Mainland Rural,24924.079591228485
0663-003-001,2019-20,Mainland Rural,50679.31622404695
0664-001-001,2019-20,Mainland Rural,34673.86640384855
0665-001-001,2019-20,Mainland Rural,32161.561986531317
0666-001-001,2019-20,Mainland Rural,38619.97325304786
0666-003-001,2019-20,Mainland Rural,27049.620246145183
0667-001-001,2019-20,Mainland Other Urban,33467.13159839622
0668-001-001,2019-20,Mainland Other Urban,32337.761209871016
0668-001-002,2019-20,Mainland Other Urban,21698.221007562275
0668-002-001,2019-20,Mainland Other Urban,34813.886972269036
0669-001-001,2019-20,Mainland Rural,30783.30468207693
0671-001-001,2019-20,Mainland Other Urban,55865.820971644804
0671-003-001,2019-20,Mainland Other Urban,33431.22440529564
0672-001-001,2019-20,Mainland Rural,35465.58661883554
0674-001-001,2019-20,Mainland Other Urban,53815.483667297805
0675-001-001,2019-20,Mainland Other Urban,40755.20449716749
0675-001-004,2019-20,Mainland Rural,44302.98408672222
0676-001-001,2019-20,Mainland Rural,47335.77076369857
0677-001-001,2019-20,Mainland Other Urban,26873.73170163603
0678-001-001,2019-20,Mainland Other Urban,36888.532833203404
0678-001-002,2019-20,Mainland Rural,36982.41822727906
0680-001-001,2019-20,Mainland Other Urban,10187.728066416757
0681-001-002,2019-20,Mainland Rural,65845.90779831265
0682-001-002,2019-20,Mainland Other Urban,35758.174797156236
0683-001-001,2019-20,Mainland Other Urban,90721.03971881143
0683-001-009,2019-20,Mainland Rural,21571.172929763783
0683-002-002,2019-20,Mainland Other Urban,17974.950615222016
0684-001-002,2019-20,Mainland Rural,25920.051230312543
0684-001-004,2019-20,Mainland Other Urban,38267.357517210236
0684-005-001,2019-20,Mainland Rural,43671.49786997355
0685-001-001,2019-20,Mainland Rural,34223.21112831576
0686-001-001,2019-20,Dar Es Salaam,45558.58501899955
0687-001-001,2019-20,Mainland Other Urban,46535.80589652574
0687-006-001,2019-20,Mainland Other Urban,27804.14728729691
0687-006-002,2019-20,Mainland Other Urban,13616.642618656319
0688-001-001,2019-20,Mainland Rural,49993.629083560925
0689-001-001,2019-20,Mainland Other Urban,52164.7897182436
0689-001-008,2019-20,Mainland Rural,106805.47449490939
0690-001-001,2019-20,Mainland Other Urban,24145.58839813747
0692-002-001,2019-20,Mainland Other Urban,38378.25451650867
0694-001-001,2019-20,Mainland Other Urban,47098.36385059242
0695-001-001,2019-20,Mainland Rural,73487.03382142016
0695-004-001,2019-20,Mainland Rural,51977.051938125536
0695-004-003,2019-20,Mainland Rural,34254.53392455475
0696-001-001,2019-20,Mainland Rural,41776.68374046405
0696-002-001,2019-20,Mainland Rural,22364.774782250588
0696-004-001,2019-20,Mainland Other Urban,26070.62805864049
0697-001-001,2019-20,Mainland Other Urban,69864.98135157891
0698-001-001,2019-20,Mainland Other Urban,60153.799716171576
0698-003-002,2019-20,Mainland Rural,24286.48430832356
0698-009-001,2019-20,Mainland Rural,49531.764166063476
0699-001-001,2019-20,Mainland Other Urban,22178.786873516394
0700-001-001,2019-20,Mainland Other Urban,36697.140238549735
0701-003-001,2019-20,Dar Es Salaam,35087.33251986364
0702-001-001,2019-20,Mainland Other Urban,39911.315690839416
0703-001-001,2019-20,Mainland Other Urban,34185.33467445332
0706-002-001,2019-20,Mainland Other Urban,36525.995286400575
0707-001-001,2019-20,Mainland Rural,73207.42381563182
0708-002-001,2019-20,Mainland Rural,37427.49192707092
0709-001-001,2019-20,Mainland Other Urban,24307.692414156718
0709-001-002,2019-20,Mainland Other Urban,34573.31576971105
0710-001-001,2019-20,Mainland Rural,44999.74794476791
0710-003-001,2019-20,Mainland Rural,40620.27126923438
0710-003-003,2019-20,Mainland Rural,27731.44366444415
0710-004-001,2019-20,Mainland Rural,40564.24879189746
0711-001-003,2019-20,Mainland Other Urban,34108.15398189316
0714-001-002,2019-20,Mainland Rural,29645.246678685235
0715-001-001,2019-20,Mainland Other Urban,36921.755975535736
0715-004-001,2019-20,Mainland Other Urban,41345.013322781146
0717-001-001,2019-20,Mainland Rural,32143.603164947348
0718-001-001,2019-20,Mainland Rural,90580.14678050419
0718-003-001,2019-20,Mainland Rural,22064.413026048933
0718-010-001,2019-20,Mainland Rural,58616.426320484505
0719-001-001,2019-20,Mainland Other Urban,42471.30594537973
0720-001-001,2019-20,Mainland Rural,53569.93406683147
0720-001-011,2019-20,Mainland Rural,96531.9421175182
0720-010-001,2019-20,Mainland Rural,54175.074278632565
0720-010-006,2019-20,Mainland Rural,56415.03503988207
0720-015-001,2019-20,Mainland Rural,28044.563303681047
0720-015-003,2019-20,Mainland Rural,18701.309929958712
0720-015-004,2019-20,Mainland Rural,20807.435820226114
0721-002-001,2019-20,Mainland Other Urban,67985.04562493718
0723-001-001,2019-20,Mainland Rural,42244.13503199696
0724-001-001,2019-20,Mainland Rural,19004.83977334304
0725-001-001,2019-20,Mainland Rural,38867.93306447689
0725-004-001,2019-20,Mainland Rural,27717.053207341043
0726-001-001,2019-20,Mainland Rural,25301.239465978
0726-004-001,2019-20,Mainland Rural,29074.27264589544
0726-004-006,2019-20,Mainland Rural,16369.834269418709
0727-001-001,2019-20,Mainland Rural,35734.06434420619
0729-001-002,2019-20,Mainland Rural,80595.06361789677
0729-003-001,2019-20,Mainland Rural,33511.198998250504
0729-004-001,2019-20,Mainland Rural,40581.22901530967
0731-001-001,2019-20,Mainland Rural,30024.274865686937
0732-001-001,2019-20,Mainland Rural,36894.17374329388
0733-001-001,2019-20,Mainland Rural,46871.84431229795
0734-001-001,2019-20,Mainland Rural,53831.268144741414
0736-001-001,2019-20,Mainland Other Urban,44412.11529029738
0736-003-001,2019-20,Mainland Rural,59501.948955652864
0736-003-003,2019-20,Mainland Rural,20984.174672159144
0736-003-004,2019-20,Mainland Rural,28773.69185746298
0736-003-005,2019-20,Mainland Rural,15581.802186354016
0736-003-006,2019-20,Mainland Rural,20420.830562835206
0737-001-001,2019-20,Mainland Rural,49497.73113725146
0738-001-001,2019-20,Mainland Rural,59579.807670710936
0739-001-001,2019-20,Mainland Rural,39612.29940926678
0740-001-001,2019-20,Mainland Rural,46116.945684601036
0740-003-001,2019-20,Mainland Other Urban,29324.61805879369
0741-001-004,2019-20,Mainland Rural,19125.35971893895
0742-001-001,2019-20,Mainland Rural,52157.87052287847
0742-006-001,2019-20,Mainland Rural,48793.53203705354
0742-006-003,2019-20,Mainland Other Urban,55426.905584940374
0743-001-001,2019-20,Mainland Rural,66845.04132770383
0743-001-002,2019-20,Mainland Rural,24386.5209809658
0744-001-001,2019-20,Mainland Rural,40939.17669871157
0744-003-001,2019-20,Mainland Other Urban,16731.988075595105
0744-005-002,2019-20,Mainland Rural,53800.623102129415
0745-001-001,2019-20,Mainland Rural,56133.31912968011
0746-001-001,2019-20,Mainland Rural,54086.5125496779
0747-001-001,2019-20,Mainland Rural,30891.192895730637
0748-001-001,2019-20,Mainland Rural,83711.5355610707
0748-006-001,2019-20,Mainland Rural,60318.07526872128
0749-001-001,2019-20,Mainland Other Urban,43182.55308097039
0749-002-001,2019-20,Mainland Other Urban,16782.157023760457
0749-003-001,2019-20,Mainland Rural,36668.10624309602
0750-001-001,2019-20,Mainland Rural,47167.73064664603
0751-001-001,2019-20,Mainland Rural,23553.199535854284
0751-001-002,2019-20,Mainland Rural,34084.630312867506
0751-001-009,2019-20,Mainland Rural,24514.218800253653
0752-001-001,2019-20,Mainland Rural,144058.85868384872
0752-004-001,2019-20,Mainland Rural,260174.7923333965
0752-004-004,2019-20,Mainland Other Urban,23299.998776681263
0752-021-001,2019-20,Mainland Rural,45750.03302228101
0753-001-001,2019-20,Mainland Rural,37145.240374188696
0754-001-001,2019-20,Mainland Rural,60963.20408984365
0755-001-001,2019-20,Mainland Rural,46204.22246163438
