,Energy,Protein,Iron,Calcium,Vitamin A,Vitamin B-6,Vitamin B-12,Vitamin C,Vitamin D,Magnesium
2772.3231535,26800.428900611852,812.8955396907312,149.5140079043489,3911.3579437607104,11377.77236378898,14.282440141387267,111.67390362205911,243.83312636630538,87.13407796333391,3074.565189365682
2872.640557142838,26718.4080144544,809.1342703896029,148.54328020697537,3891.3395388022973,11251.281060956242,14.208565283763635,110.44143933758076,243.0896901355266,85.96291871149049,3067.606376708749
2976.5879782534935,26635.957169235742,805.3812655756615,147.57893386790104,3871.339803851219,11125.806019665415,14.134959631451387,109.21971061975884,242.33187635330904,84.80330479539235,3060.62252777706
3084.296770179822,26553.059451843223,801.6359138953105,146.6208445266946,3851.355424015647,11001.332470809624,14.061612238431874,108.00857462494811,241.5594958584821,83.65511004615172,3053.612327502732
3195.903039332756,26469.698027864746,797.8976083946377,145.6688894705654,3831.3831113153215,10877.845882291456,13.988512268785303,106.80789066232138,240.77236112883568,82.5182104557461,3046.574470092736
3311.547817177417,26385.856151882934,794.1657467257135,144.72294765997248,3811.4196061694756,10755.331961224241,13.915649000443992,105.61752020135252,239.9702865163211,81.39248417382134,3039.5076598548744
3431.377238447785,26301.51717839357,790.4397313682501,143.7828997562681,3791.4616789806605,10633.776656320599,13.843011829205652,104.43732688067102,239.15308849340119,80.27781150517242,3032.4106120705733
3555.5427258101204,26216.66457311181,786.7189698596741,142.8486281501289,3771.5061317735945,10513.166160330115,13.770590272882977,103.26717651707766,238.3205859068237,79.1740749069296,3025.282053895664
3684.201181208491,26131.281924775893,783.0028750367957,141.92001699129935,3751.549799907517,10393.486912581797,13.698373975644415,102.10693711521563,237.47260024045994,78.08115898582781,3018.120725297545
3817.515184134201,26045.35295750133,779.2908652905913,140.9969522198723,3731.5895538707373,10274.725601653674,13.626352712571187,100.95647887809902,236.608955887968,76.99895049570085,3010.9253800326255
3955.6531970696597,25958.861543539926,775.5823648298536,140.07932159834166,3711.622301132226,10156.869168084719,13.554516394354769,99.81567421776235,235.72948043293087,75.92733833461003,3003.694786652364
4098.789778366303,25871.791716575353,771.8768039575435,139.16701474505481,3691.6449880724513,10039.904807195358,13.482855072200476,98.68439776662129,234.83400493843416,74.86621354205624,2996.4277295479665
4247.105802825575,25784.127685559608,768.1736193599489,138.25992316904436,3671.6546019938073,9923.819972012287,13.411358942937468,97.56252638951584,233.9223642460541,73.8154692962367,2989.1230100337943
4400.788690261696,25695.85384895261,764.4722544047023,137.3579403055314,3651.6481731870545,9808.602376219185,13.34001835426435,96.44993919576267,232.99439728199707,72.77500091081046,2981.7794474584057
4560.032642335055,25606.95480951123,760.7721594518995,136.4609615527918,3631.6227770783216,9694.239997206238,13.268823810203077,95.34651755186667,232.04994737255333,71.74470583166575,2974.3958803543937
4725.038887955492,25517.41538957483,757.072792176823,135.56888431009264,3611.5755364474553,9580.721079184736,13.197765976733017,94.25214509461168,231.0888625679095,70.72448363345796,2966.971167622551
4896.01593756557,25427.220646790258,753.3736179026766,134.6816080163972,3591.503623707871,9468.03413633253,13.126835687575747,93.16670774424769,230.1109959732842,69.71423601568931,2959.5041897456017
5073.179846625183,25336.355890365347,749.6741099459457,133.7990341902454,3571.40426326275,9356.16795601204,13.056023950174158,92.09009371815667,229.11620608862395,68.71386679861357,2951.9938500381218
5256.754488630427,25244.80669776342,745.9737499719364,132.92106647036317,3551.274733922659,9245.111602010997,12.98532195182132,91.0221935445818,228.10435715532617,67.72328191863552,2944.439075925484
5446.971838011749,25152.55893184658,742.2720283607995,132.04761065702155,3531.1123713857783,9134.854417806366,12.914721065942544,89.96290007644588,227.0753195099293,66.74238942321708,2936.8388202520982
5644.072263268864,25059.59875852153,738.5684445856622,131.17857475438134,3510.9145707896255,9025.386029874542,12.844212858556606,88.91210850548299,226.02896994541942,65.77109946545093,2929.192062622782
5848.304830712842,24965.912664779233,734.8625075998642,130.3138690132909,3490.6787893159235,8916.696350989194,12.77378909486193,87.8697163761982,224.9651920782474,64.80932429792409,2921.4978107684324
6059.927619199206,24871.487477148756,731.153736234004,129.45340597462518,3470.402548852009,8808.775583514433,12.703441745957806,86.83562359974944,223.88387672115698,63.856978265937855,2913.755101937252
6279.208046249749,24776.310380594987,727.4416596037591,128.59710051329415,3450.083438713669,8701.614222704933,12.63316299571509,85.80973246788163,222.78492226205492,62.913977800175914,2905.963004313443
6506.423205975173,24680.368937795458,723.7258175267829,127.74486988260932,3429.719118418554,8595.203059978094,12.5629452477646,84.79194766663989,221.66823504766612,61.980241408609174,2898.120618457991
6741.860219225561,24583.651108729384,720.0057609469397,126.89663375869708,3409.307320499072,8489.53318612383,12.492781132570961,83.78217628959699,220.53372977066724,61.055689667435885,2890.2270787659613
6985.816596411171,24486.145270687928,716.2810523691313,126.05231428546448,3388.8458533729336,8384.59599450346,12.422663514645564,82.78032785107577,219.38132986173207,60.1402452114164,2882.2815549484135
7238.600613451995,24387.840238534736,712.551266300064,125.21183611933138,3368.332604243015,8280.38318415322,12.35258549981599,81.78631429867075,218.21096788353114,59.23383272308008,2874.2832535253056
7500.5317013312,24288.725285289576,708.8159896972063,124.37512647407286,3347.7655420387136,8176.886762827065,12.282540442588237,80.80005002540837,217.0225859275224,58.33637892106039,2866.23141933466
7771.940849744657,24188.790162967067,705.074822424233,123.54211516547271,3327.1427203876956,8074.099049945678,12.2125219535698,79.82145188129958,215.8161360121634,57.44781254737667,2858.1253370523814
8053.1710253566835,24088.025123605305,701.3273777113396,122.71273465550738,3306.462280607377,7972.0126794210355,12.142523906923353,78.85043918406205,214.59158048119653,56.56806435350311,2849.9643327173144
8344.577605190494,23986.420940519616,697.5732826216633,121.8869200962431,3285.722454722234,7870.620602374229,12.072540447869757,77.8869337292097,213.34889240222876,55.697067085377725,2841.747775263939
8646.528825701007,23883.96892969322,693.8121785215731,121.06460937307027,3264.92156849255,7769.916089705959,12.002566000199284,76.9308597992038,212.08805596387583,54.83475546713397,2833.475078055541
8959.406248097532,23780.660971283178,690.0437215544933,120.24574314720834,3244.0580444513544,7669.8927345117445,11.932595273782852,75.98214417164534,210.8090668707791,53.981066183550475,2825.1457004158788
9283.605240504268,23676.489531159918,686.2675831162492,119.43026489715243,3223.13040493641,7570.544454306666,11.862623272046225,75.04071612625363,209.51193273485018,53.13593786104559,2816.759149152731
9619.535477567966,23571.447682516817,682.4834503332423,118.61812095926241,3202.137275123594,7471.865493079544,11.79264529942703,74.10650745085374,208.19667346293863,52.29931104739471,2808.314980075863
9967.621458144033,23465.52912739579,678.6910265394546,117.80926056685634,3181.0773860367726,7373.850423109859,11.722656968743687,73.17945244584912,206.86332163813458,51.4711281898053,2799.812799497272
10328.303041715293,23358.72821818131,674.8900317540574,117.00363588809006,3159.949577543186,7276.494146575886,11.652654208504131,72.25948792747856,205.51192289513435,50.65133361158817,2791.2522657175195
10702.036004221214,23251.03997894547,671.0802031566708,116.20120206215951,3138.752801315558,7179.791896905832,11.582633270101473,71.34655322949533,204.14253628744115,49.83987348718371,2782.6330904888887
11089.292614,23142.460126569662,667.2612955585445,115.40191723356381,3117.486123749287,7083.7392398450465,11.512590734864846,70.44059020309236,202.75523464484493,49.03669581544201,2773.9550404494767
